ID,Material Name,Category,Unit Cost (USD),Stock Level,Monthly Sales,Avg Lead Time (days),Durability (1-10),Eco-Friendly,Recommended For,Customer Rating (1-5),Image URL,Popular Regions,Seasonality Index,Year,Month
1,Biodegradable Foam,Box,0.22,688,1962.45,2,3,Yes,Tools,4.9,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,North America,1.34,2024,July
2,Kraft Paper,Box,1.8,1572,963.15,14,4,No,"Jewelry, Books, Cosmetics",3.6,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"Africa, Europe",0.7,2024,August
3,Corrugated Cardboard,Envelope,0.67,2131,1143.9,4,4,No,Food,3.4,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,"Europe, UAE",0.77,2024,September
4,Kraft Paper,Wrap,1.16,395,1993.56,15,9,Yes,"Food, Accessories",4.0,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"Africa, Latin America",1.24,2024,October
5,Corrugated Cardboard,Bag,1.42,3833,1090.04,11,9,No,Toys,4.8,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,Australia,0.8,2024,November
6,Plastic Mailer,Filler,0.79,626,1662.31,11,3,No,"Glassware, Cosmetics",4.7,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,"Africa, Latin America",1.22,2024,December
7,Corrugated Cardboard,Bag,1.09,4256,2164.84,11,4,Yes,Jewelry,4.4,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,"Australia, UAE",1.34,2025,January
8,Jiffy Bag,Envelope,0.76,4055,1186.81,8,7,Yes,"Electronics, Books",3.2,https://dummyimage.com/600x400/000/fff&text=Jiffy+Bag,UAE,0.79,2025,February
9,Rigid Boxes,Wrap,0.5,3169,1582.36,2,6,Yes,"Books, Tools, Food",4.8,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,North America,1.19,2025,March
10,Padded Envelope,Bag,0.55,2751,1618.01,2,9,No,"Food, Toys",3.1,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,Africa,1.1,2025,April
11,Rigid Boxes,Envelope,0.13,3521,1224.11,13,9,Yes,"Jewelry, Tools, Glassware",3.8,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,"Europe, Asia",0.92,2025,May
12,Bubble Wrap,Box,0.27,3813,1862.33,7,4,Yes,"Food, Cosmetics, Glassware",3.8,https://dummyimage.com/600x400/000/fff&text=Bubble+Wrap,"North America, Latin America",1.4,2025,June
13,Biodegradable Foam,Filler,1.46,174,1200.34,3,5,Yes,Clothing,3.5,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,UAE,0.84,2025,July
14,Padded Envelope,Filler,1.16,2748,1613.43,3,3,No,Glassware,4.9,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,"Asia, Europe",1.43,2025,August
15,Kraft Paper,Wrap,0.21,1847,1547.1,10,6,Yes,Tools,4.4,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"Latin America, Asia",1.34,2025,September
16,Biodegradable Foam,Bag,1.21,4380,974.41,12,4,Yes,Books,4.1,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,North America,0.74,2025,October
17,Plastic Mailer,Envelope,1.75,720,1855.78,3,7,No,"Glassware, Tools",4.2,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,"Asia, North America",1.48,2025,November
18,Biodegradable Foam,Bag,0.66,2212,1913.95,5,7,No,Glassware,4.2,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,"Europe, Latin America",1.33,2025,December
